[DEBUG] 2020-02-16 23:14:24.860 [http-nio-8080-exec-6] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-02-16 23:14:24.889 [http-nio-8080-exec-6] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-02-16 23:14:24.904 [http-nio-8080-exec-6] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-02-16 23:14:25.011 [http-nio-8080-exec-6] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-02-16 23:14:25.018 [http-nio-8080-exec-6] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-02-16 23:14:25.153 [http-nio-8080-exec-6] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-02-16 23:14:25.154 [http-nio-8080-exec-6] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-02-16 23:14:25.205 [http-nio-8080-exec-6] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-02-16 23:14:25.608 [http-nio-8080-exec-6] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-02-16 23:14:25.644 [http-nio-8080-exec-6] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-02-16 23:14:25.645 [http-nio-8080-exec-6] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-02-16 23:14:25.673 [http-nio-8080-exec-6] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-02-16 23:14:25.722 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6c694739
[DEBUG] 2020-02-16 23:14:25.722 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6c694739
[DEBUG] 2020-02-16 23:14:25.722 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@6c694739
[DEBUG] 2020-02-16 23:14:25.723 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@574cce36
[DEBUG] 2020-02-16 23:14:25.723 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@786279f8
[DEBUG] 2020-02-16 23:14:25.724 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@304a476c
[DEBUG] 2020-02-16 23:14:25.725 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@15eba9f3
[DEBUG] 2020-02-16 23:14:25.725 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@15eba9f3
[DEBUG] 2020-02-16 23:14:25.725 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@15eba9f3
[DEBUG] 2020-02-16 23:14:25.726 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@1d221ac
[DEBUG] 2020-02-16 23:14:25.726 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@1d221ac
[DEBUG] 2020-02-16 23:14:25.727 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@1d221ac
[DEBUG] 2020-02-16 23:14:25.728 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3bb99c58
[DEBUG] 2020-02-16 23:14:25.728 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3bb99c58
[DEBUG] 2020-02-16 23:14:25.729 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@3bb99c58
[DEBUG] 2020-02-16 23:14:25.730 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@4bd56e8
[DEBUG] 2020-02-16 23:14:25.730 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@4bd56e8
[DEBUG] 2020-02-16 23:14:25.730 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@4bd56e8
[DEBUG] 2020-02-16 23:14:25.732 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@139a59e1
[DEBUG] 2020-02-16 23:14:25.732 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@139a59e1
[DEBUG] 2020-02-16 23:14:25.732 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@139a59e1
[DEBUG] 2020-02-16 23:14:25.733 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@257dd954
[DEBUG] 2020-02-16 23:14:25.733 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@257dd954
[DEBUG] 2020-02-16 23:14:25.733 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@257dd954
[DEBUG] 2020-02-16 23:14:25.734 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@4b4519ff
[DEBUG] 2020-02-16 23:14:25.735 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@4b4519ff
[DEBUG] 2020-02-16 23:14:25.739 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@4b4519ff
[DEBUG] 2020-02-16 23:14:25.740 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@63190f94
[DEBUG] 2020-02-16 23:14:25.741 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@63190f94
[DEBUG] 2020-02-16 23:14:25.741 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@4bb9f5b6
[DEBUG] 2020-02-16 23:14:25.742 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@4bb9f5b6
[DEBUG] 2020-02-16 23:14:25.742 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@681d1623
[DEBUG] 2020-02-16 23:14:25.742 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@681d1623
[DEBUG] 2020-02-16 23:14:25.743 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@6847938a
[DEBUG] 2020-02-16 23:14:25.743 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@22303c29
[DEBUG] 2020-02-16 23:14:25.744 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@444c8157
[DEBUG] 2020-02-16 23:14:25.744 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@444c8157
[DEBUG] 2020-02-16 23:14:25.745 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@703990c1
[DEBUG] 2020-02-16 23:14:25.746 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@703990c1
[DEBUG] 2020-02-16 23:14:25.750 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@6f0fa701
[DEBUG] 2020-02-16 23:14:25.750 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@6f0fa701
[DEBUG] 2020-02-16 23:14:25.751 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@442b51b8
[DEBUG] 2020-02-16 23:14:25.752 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@442b51b8
[DEBUG] 2020-02-16 23:14:25.752 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@1e96222b
[DEBUG] 2020-02-16 23:14:25.752 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@1e96222b
[DEBUG] 2020-02-16 23:14:25.754 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@4769ab68
[DEBUG] 2020-02-16 23:14:25.754 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@4769ab68
[DEBUG] 2020-02-16 23:14:25.755 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@236f67fc
[DEBUG] 2020-02-16 23:14:25.755 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@236f67fc
[DEBUG] 2020-02-16 23:14:25.757 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@6b175e74
[DEBUG] 2020-02-16 23:14:25.757 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@6b175e74
[DEBUG] 2020-02-16 23:14:25.760 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@4b70b883
[DEBUG] 2020-02-16 23:14:25.761 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@4b70b883
[DEBUG] 2020-02-16 23:14:25.764 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@16ccbc21
[DEBUG] 2020-02-16 23:14:25.764 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@16ccbc21
[DEBUG] 2020-02-16 23:14:25.766 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@1097c7af
[DEBUG] 2020-02-16 23:14:25.766 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@1097c7af
[DEBUG] 2020-02-16 23:14:25.768 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@14d3dd58
[DEBUG] 2020-02-16 23:14:25.769 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@14d3dd58
[DEBUG] 2020-02-16 23:14:25.769 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@14d3dd58
[DEBUG] 2020-02-16 23:14:25.771 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@17eb18fe
[DEBUG] 2020-02-16 23:14:25.773 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@1d4d76c1
[DEBUG] 2020-02-16 23:14:25.773 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@1d4d76c1
[DEBUG] 2020-02-16 23:14:25.773 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@1d4d76c1
[DEBUG] 2020-02-16 23:14:25.774 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@bb23906
[DEBUG] 2020-02-16 23:14:25.775 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@21b0f8bc
[DEBUG] 2020-02-16 23:14:25.775 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@21b0f8bc
[DEBUG] 2020-02-16 23:14:25.776 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@7fc4f1e
[DEBUG] 2020-02-16 23:14:25.776 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@7fc4f1e
[DEBUG] 2020-02-16 23:14:25.777 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@7ef774c9
[DEBUG] 2020-02-16 23:14:25.777 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@7ef774c9
[DEBUG] 2020-02-16 23:14:25.778 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@48d4d213
[DEBUG] 2020-02-16 23:14:25.778 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@48d4d213
[DEBUG] 2020-02-16 23:14:25.781 [http-nio-8080-exec-6] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@503e401c
