[DEBUG] 2020-02-16 19:53:35.252 [http-nio-8080-exec-3] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-02-16 19:53:35.263 [http-nio-8080-exec-3] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-02-16 19:53:35.271 [http-nio-8080-exec-3] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-02-16 19:53:35.377 [http-nio-8080-exec-3] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-02-16 19:53:35.384 [http-nio-8080-exec-3] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-02-16 19:53:35.582 [http-nio-8080-exec-3] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-02-16 19:53:35.583 [http-nio-8080-exec-3] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-02-16 19:53:35.617 [http-nio-8080-exec-3] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-02-16 19:53:35.924 [http-nio-8080-exec-3] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-02-16 19:53:35.956 [http-nio-8080-exec-3] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-02-16 19:53:35.956 [http-nio-8080-exec-3] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-02-16 19:53:35.985 [http-nio-8080-exec-3] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-02-16 19:53:36.031 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@591146f4
[DEBUG] 2020-02-16 19:53:36.031 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@591146f4
[DEBUG] 2020-02-16 19:53:36.031 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@591146f4
[DEBUG] 2020-02-16 19:53:36.033 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@700ec24
[DEBUG] 2020-02-16 19:53:36.033 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@51dea24e
[DEBUG] 2020-02-16 19:53:36.034 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@71cbf147
[DEBUG] 2020-02-16 19:53:36.035 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@4c886584
[DEBUG] 2020-02-16 19:53:36.035 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@4c886584
[DEBUG] 2020-02-16 19:53:36.035 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@4c886584
[DEBUG] 2020-02-16 19:53:36.035 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@6c3364d6
[DEBUG] 2020-02-16 19:53:36.036 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@6c3364d6
[DEBUG] 2020-02-16 19:53:36.036 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@6c3364d6
[DEBUG] 2020-02-16 19:53:36.037 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@5f179d59
[DEBUG] 2020-02-16 19:53:36.037 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@5f179d59
[DEBUG] 2020-02-16 19:53:36.037 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@5f179d59
[DEBUG] 2020-02-16 19:53:36.039 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@547c3c1f
[DEBUG] 2020-02-16 19:53:36.039 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@547c3c1f
[DEBUG] 2020-02-16 19:53:36.039 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@547c3c1f
[DEBUG] 2020-02-16 19:53:36.040 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@33811756
[DEBUG] 2020-02-16 19:53:36.040 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@33811756
[DEBUG] 2020-02-16 19:53:36.040 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@33811756
[DEBUG] 2020-02-16 19:53:36.042 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@5fff4065
[DEBUG] 2020-02-16 19:53:36.042 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@5fff4065
[DEBUG] 2020-02-16 19:53:36.042 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@5fff4065
[DEBUG] 2020-02-16 19:53:36.044 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@72153b1e
[DEBUG] 2020-02-16 19:53:36.044 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@72153b1e
[DEBUG] 2020-02-16 19:53:36.044 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@72153b1e
[DEBUG] 2020-02-16 19:53:36.046 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@4a08856c
[DEBUG] 2020-02-16 19:53:36.046 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@4a08856c
[DEBUG] 2020-02-16 19:53:36.047 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@b47e621
[DEBUG] 2020-02-16 19:53:36.047 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@b47e621
[DEBUG] 2020-02-16 19:53:36.050 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@45b725ac
[DEBUG] 2020-02-16 19:53:36.050 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@45b725ac
[DEBUG] 2020-02-16 19:53:36.051 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@8025e39
[DEBUG] 2020-02-16 19:53:36.052 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@1951d66e
[DEBUG] 2020-02-16 19:53:36.052 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@683a6ed7
[DEBUG] 2020-02-16 19:53:36.053 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@683a6ed7
[DEBUG] 2020-02-16 19:53:36.053 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@53bdc8ec
[DEBUG] 2020-02-16 19:53:36.054 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@53bdc8ec
[DEBUG] 2020-02-16 19:53:36.057 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@6cd50833
[DEBUG] 2020-02-16 19:53:36.057 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@6cd50833
[DEBUG] 2020-02-16 19:53:36.058 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@7dca607f
[DEBUG] 2020-02-16 19:53:36.058 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@7dca607f
[DEBUG] 2020-02-16 19:53:36.059 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@46ae9ee7
[DEBUG] 2020-02-16 19:53:36.059 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@46ae9ee7
[DEBUG] 2020-02-16 19:53:36.060 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@6def1299
[DEBUG] 2020-02-16 19:53:36.060 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@6def1299
[DEBUG] 2020-02-16 19:53:36.061 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@6c6f4a46
[DEBUG] 2020-02-16 19:53:36.061 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@6c6f4a46
[DEBUG] 2020-02-16 19:53:36.063 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@355d4e9c
[DEBUG] 2020-02-16 19:53:36.063 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@355d4e9c
[DEBUG] 2020-02-16 19:53:36.065 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@148c9948
[DEBUG] 2020-02-16 19:53:36.065 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@148c9948
[DEBUG] 2020-02-16 19:53:36.067 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@f411387
[DEBUG] 2020-02-16 19:53:36.067 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@f411387
[DEBUG] 2020-02-16 19:53:36.068 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@23c68046
[DEBUG] 2020-02-16 19:53:36.068 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@23c68046
[DEBUG] 2020-02-16 19:53:36.069 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@76d7cd0a
[DEBUG] 2020-02-16 19:53:36.069 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@76d7cd0a
[DEBUG] 2020-02-16 19:53:36.069 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@76d7cd0a
[DEBUG] 2020-02-16 19:53:36.071 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@6a07d529
[DEBUG] 2020-02-16 19:53:36.072 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@43419bf7
[DEBUG] 2020-02-16 19:53:36.072 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@43419bf7
[DEBUG] 2020-02-16 19:53:36.072 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@43419bf7
[DEBUG] 2020-02-16 19:53:36.072 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@776d5a66
[DEBUG] 2020-02-16 19:53:36.073 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@569f05b6
[DEBUG] 2020-02-16 19:53:36.073 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@569f05b6
[DEBUG] 2020-02-16 19:53:36.075 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@d3b307b
[DEBUG] 2020-02-16 19:53:36.075 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@d3b307b
[DEBUG] 2020-02-16 19:53:36.076 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@675dc001
[DEBUG] 2020-02-16 19:53:36.077 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@675dc001
[DEBUG] 2020-02-16 19:53:36.077 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@13c0b5c5
[DEBUG] 2020-02-16 19:53:36.077 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@13c0b5c5
[DEBUG] 2020-02-16 19:53:36.078 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@c18e0c1
[DEBUG] 2020-02-16 19:53:36.078 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@c18e0c1
[DEBUG] 2020-02-16 19:53:36.079 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@3bbd0ff5
[DEBUG] 2020-02-16 19:53:36.079 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@451da31d
[DEBUG] 2020-02-16 19:53:36.080 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@451da31d
[DEBUG] 2020-02-16 19:53:36.080 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@451da31d
[DEBUG] 2020-02-16 19:53:36.082 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@6202c896
[DEBUG] 2020-02-16 19:53:36.082 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@6202c896
[DEBUG] 2020-02-16 19:53:36.082 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@6202c896
[DEBUG] 2020-02-16 19:53:36.084 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@4df56c25
[DEBUG] 2020-02-16 19:53:36.084 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@5314bb64
[DEBUG] 2020-02-16 19:53:36.085 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@792845a1
[DEBUG] 2020-02-16 19:53:36.085 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@792845a1
[DEBUG] 2020-02-16 19:53:36.085 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@792845a1
[DEBUG] 2020-02-16 19:53:36.086 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@22c150f3
[DEBUG] 2020-02-16 19:53:36.086 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@22c150f3
[DEBUG] 2020-02-16 19:53:36.086 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@22c150f3
[DEBUG] 2020-02-16 19:53:36.087 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration text -> org.hibernate.type.TextType@67632329
[DEBUG] 2020-02-16 19:53:36.087 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration ntext -> org.hibernate.type.NTextType@4674152
[DEBUG] 2020-02-16 19:53:36.089 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration blob -> org.hibernate.type.BlobType@47daa89e
[DEBUG] 2020-02-16 19:53:36.089 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@47daa89e
[DEBUG] 2020-02-16 19:53:36.089 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@38fcb789
[DEBUG] 2020-02-16 19:53:36.091 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration clob -> org.hibernate.type.ClobType@110be68d
[DEBUG] 2020-02-16 19:53:36.091 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@110be68d
[DEBUG] 2020-02-16 19:53:36.092 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration nclob -> org.hibernate.type.NClobType@f117c57
[DEBUG] 2020-02-16 19:53:36.092 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@f117c57
[DEBUG] 2020-02-16 19:53:36.092 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@7aa92575
