[DEBUG] 2020-02-16 22:42:16.543 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-02-16 22:42:16.546 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-02-16 22:42:16.548 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-02-16 22:42:16.595 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-02-16 22:42:16.601 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-02-16 22:42:16.929 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-02-16 22:42:16.930 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-02-16 22:42:16.936 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-02-16 22:42:17.327 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-02-16 22:42:17.353 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-02-16 22:42:17.354 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-02-16 22:42:17.370 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-02-16 22:42:17.420 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@5486887b
[DEBUG] 2020-02-16 22:42:17.421 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@5486887b
[DEBUG] 2020-02-16 22:42:17.421 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@5486887b
[DEBUG] 2020-02-16 22:42:17.421 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@783ec989
[DEBUG] 2020-02-16 22:42:17.421 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@43cf6ea3
[DEBUG] 2020-02-16 22:42:17.422 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@68809cc7
[DEBUG] 2020-02-16 22:42:17.422 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@102d92c4
[DEBUG] 2020-02-16 22:42:17.422 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@102d92c4
[DEBUG] 2020-02-16 22:42:17.422 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@102d92c4
[DEBUG] 2020-02-16 22:42:17.423 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@abbc908
[DEBUG] 2020-02-16 22:42:17.423 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@abbc908
[DEBUG] 2020-02-16 22:42:17.423 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@abbc908
[DEBUG] 2020-02-16 22:42:17.424 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@5f84abe8
[DEBUG] 2020-02-16 22:42:17.424 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@5f84abe8
[DEBUG] 2020-02-16 22:42:17.424 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@5f84abe8
[DEBUG] 2020-02-16 22:42:17.425 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@78411116
[DEBUG] 2020-02-16 22:42:17.425 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@78411116
[DEBUG] 2020-02-16 22:42:17.425 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@78411116
[DEBUG] 2020-02-16 22:42:17.426 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@2d195ee4
[DEBUG] 2020-02-16 22:42:17.426 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@2d195ee4
[DEBUG] 2020-02-16 22:42:17.426 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@2d195ee4
[DEBUG] 2020-02-16 22:42:17.426 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@6b1e7ad3
[DEBUG] 2020-02-16 22:42:17.426 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@6b1e7ad3
[DEBUG] 2020-02-16 22:42:17.426 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@6b1e7ad3
[DEBUG] 2020-02-16 22:42:17.427 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@5972d253
[DEBUG] 2020-02-16 22:42:17.427 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@5972d253
[DEBUG] 2020-02-16 22:42:17.427 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@5972d253
[DEBUG] 2020-02-16 22:42:17.427 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@551de37d
[DEBUG] 2020-02-16 22:42:17.428 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@551de37d
[DEBUG] 2020-02-16 22:42:17.428 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@7a18e8d
