[DEBUG] 2020-02-16 22:40:42.769 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-02-16 22:40:42.778 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-02-16 22:40:42.784 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-02-16 22:40:42.926 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-02-16 22:40:42.928 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-02-16 22:40:43.172 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-02-16 22:40:43.173 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-02-16 22:40:43.178 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-02-16 22:40:43.457 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-02-16 22:40:43.490 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-02-16 22:40:43.491 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-02-16 22:40:43.513 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-02-16 22:40:43.566 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@67001148
[DEBUG] 2020-02-16 22:40:43.567 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@67001148
[DEBUG] 2020-02-16 22:40:43.567 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@67001148
[DEBUG] 2020-02-16 22:40:43.567 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@64030b91
[DEBUG] 2020-02-16 22:40:43.568 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@441cc260
[DEBUG] 2020-02-16 22:40:43.569 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@444548a0
[DEBUG] 2020-02-16 22:40:43.570 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@31ddd4a4
[DEBUG] 2020-02-16 22:40:43.570 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@31ddd4a4
[DEBUG] 2020-02-16 22:40:43.570 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@31ddd4a4
[DEBUG] 2020-02-16 22:40:43.571 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@7ca0863b
[DEBUG] 2020-02-16 22:40:43.572 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@7ca0863b
[DEBUG] 2020-02-16 22:40:43.572 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@7ca0863b
[DEBUG] 2020-02-16 22:40:43.573 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@af78c87
[DEBUG] 2020-02-16 22:40:43.574 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@af78c87
[DEBUG] 2020-02-16 22:40:43.574 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@af78c87
[DEBUG] 2020-02-16 22:40:43.575 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@660591fb
[DEBUG] 2020-02-16 22:40:43.575 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@660591fb
[DEBUG] 2020-02-16 22:40:43.575 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@660591fb
[DEBUG] 2020-02-16 22:40:43.578 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@5eb97ced
[DEBUG] 2020-02-16 22:40:43.578 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@5eb97ced
[DEBUG] 2020-02-16 22:40:43.578 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@5eb97ced
[DEBUG] 2020-02-16 22:40:43.579 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@2bcec6a6
[DEBUG] 2020-02-16 22:40:43.579 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@2bcec6a6
[DEBUG] 2020-02-16 22:40:43.579 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@2bcec6a6
[DEBUG] 2020-02-16 22:40:43.580 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@3e850122
[DEBUG] 2020-02-16 22:40:43.580 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@3e850122
[DEBUG] 2020-02-16 22:40:43.580 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@3e850122
[DEBUG] 2020-02-16 22:40:43.581 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@293cde83
[DEBUG] 2020-02-16 22:40:43.581 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@293cde83
[DEBUG] 2020-02-16 22:40:43.582 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@398474a2
[DEBUG] 2020-02-16 22:40:43.582 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@398474a2
[DEBUG] 2020-02-16 22:40:43.583 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@1d12b024
[DEBUG] 2020-02-16 22:40:43.583 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@1d12b024
[DEBUG] 2020-02-16 22:40:43.584 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@248deced
[DEBUG] 2020-02-16 22:40:43.584 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@4e628b52
[DEBUG] 2020-02-16 22:40:43.585 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@4d74c3ba
[DEBUG] 2020-02-16 22:40:43.585 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@4d74c3ba
[DEBUG] 2020-02-16 22:40:43.586 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@1f443fae
[DEBUG] 2020-02-16 22:40:43.587 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@1f443fae
[DEBUG] 2020-02-16 22:40:43.592 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@13047d7d
[DEBUG] 2020-02-16 22:40:43.594 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@13047d7d
[DEBUG] 2020-02-16 22:40:43.595 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@23e44287
[DEBUG] 2020-02-16 22:40:43.595 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@23e44287
[DEBUG] 2020-02-16 22:40:43.596 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@432034a
[DEBUG] 2020-02-16 22:40:43.596 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@432034a
[DEBUG] 2020-02-16 22:40:43.597 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@40d10481
[DEBUG] 2020-02-16 22:40:43.598 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@40d10481
[DEBUG] 2020-02-16 22:40:43.599 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@985696
[DEBUG] 2020-02-16 22:40:43.599 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@985696
[DEBUG] 2020-02-16 22:40:43.601 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@6dd91637
[DEBUG] 2020-02-16 22:40:43.601 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@6dd91637
[DEBUG] 2020-02-16 22:40:43.602 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@30506c0d
[DEBUG] 2020-02-16 22:40:43.602 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@30506c0d
[DEBUG] 2020-02-16 22:40:43.605 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@c81fd12
