[DEBUG] 2020-02-17 10:40:32.920 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-02-17 10:40:32.939 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-02-17 10:40:32.961 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-02-17 10:40:33.281 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-02-17 10:40:33.290 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-02-17 10:40:33.900 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-02-17 10:40:33.901 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-02-17 10:40:33.935 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-02-17 10:40:34.989 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-02-17 10:40:35.058 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-02-17 10:40:35.061 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-02-17 10:40:35.100 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-02-17 10:40:35.180 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@5942ee04
[DEBUG] 2020-02-17 10:40:35.181 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@5942ee04
[DEBUG] 2020-02-17 10:40:35.181 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@5942ee04
[DEBUG] 2020-02-17 10:40:35.182 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@14faa38c
[DEBUG] 2020-02-17 10:40:35.183 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@2fb5fe30
[DEBUG] 2020-02-17 10:40:35.183 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@5b6e8f77
[DEBUG] 2020-02-17 10:40:35.185 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@c3c4c1c
[DEBUG] 2020-02-17 10:40:35.185 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@c3c4c1c
[DEBUG] 2020-02-17 10:40:35.186 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@c3c4c1c
[DEBUG] 2020-02-17 10:40:35.188 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@41d7b27f
[DEBUG] 2020-02-17 10:40:35.189 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@41d7b27f
[DEBUG] 2020-02-17 10:40:35.189 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@41d7b27f
[DEBUG] 2020-02-17 10:40:35.191 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@5a9800f8
[DEBUG] 2020-02-17 10:40:35.192 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@5a9800f8
