[DEBUG] 2020-02-16 22:44:33.074 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-02-16 22:44:33.084 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-02-16 22:44:33.096 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-02-16 22:44:33.241 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-02-16 22:44:33.243 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-02-16 22:44:33.481 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-02-16 22:44:33.482 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-02-16 22:44:33.487 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-02-16 22:44:33.786 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-02-16 22:44:33.828 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-02-16 22:44:33.829 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-02-16 22:44:33.856 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-02-16 22:44:33.922 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@4af46df3
[DEBUG] 2020-02-16 22:44:33.922 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@4af46df3
[DEBUG] 2020-02-16 22:44:33.922 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@4af46df3
[DEBUG] 2020-02-16 22:44:33.923 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@1ecfcbc9
[DEBUG] 2020-02-16 22:44:33.924 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@55cff952
[DEBUG] 2020-02-16 22:44:33.924 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@226b143b
[DEBUG] 2020-02-16 22:44:33.925 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@6f667ad1
[DEBUG] 2020-02-16 22:44:33.925 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@6f667ad1
[DEBUG] 2020-02-16 22:44:33.925 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@6f667ad1
[DEBUG] 2020-02-16 22:44:33.926 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@765df79d
[DEBUG] 2020-02-16 22:44:33.927 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@765df79d
[DEBUG] 2020-02-16 22:44:33.927 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@765df79d
